dim,k,Var3,r,steps,integral,a_1,a_2,a_3,a_4,a_5,u_1,u_2,u_3,u_4,u_5
5,1,cont,1,11,0.0486725648944867,1.22357744541651,1.98367012615662,1.9231047675577,2.75411628211965,2.32047835495437,0.662540373112819,0.953624630494782,0.0941284570557659,0.685315621928818,0.412440482165339
5,2,cont,1,61,0.0533284762181748,1.22357744541651,1.98367012615662,1.9231047675577,2.75411628211965,2.32047835495437,0.662540373112819,0.953624630494782,0.0941284570557659,0.685315621928818,0.412440482165339
5,3,cont,1,241,0.0555174610018511,1.22357744541651,1.98367012615662,1.9231047675577,2.75411628211965,2.32047835495437,0.662540373112819,0.953624630494782,0.0941284570557659,0.685315621928818,0.412440482165339
5,4,cont,1,801,0.0541093739341836,1.22357744541651,1.98367012615662,1.9231047675577,2.75411628211965,2.32047835495437,0.662540373112819,0.953624630494782,0.0941284570557659,0.685315621928818,0.412440482165339
5,5,cont,1,2433,0.0541433026410827,1.22357744541651,1.98367012615662,1.9231047675577,2.75411628211965,2.32047835495437,0.662540373112819,0.953624630494782,0.0941284570557659,0.685315621928818,0.412440482165339
5,6,cont,1,6993,0.0539668207840089,1.22357744541651,1.98367012615662,1.9231047675577,2.75411628211965,2.32047835495437,0.662540373112819,0.953624630494782,0.0941284570557659,0.685315621928818,0.412440482165339
5,7,cont,1,19313,0.0540136985094004,1.22357744541651,1.98367012615662,1.9231047675577,2.75411628211965,2.32047835495437,0.662540373112819,0.953624630494782,0.0941284570557659,0.685315621928818,0.412440482165339
5,8,cont,1,51713,0.0540119779510854,1.22357744541651,1.98367012615662,1.9231047675577,2.75411628211965,2.32047835495437,0.662540373112819,0.953624630494782,0.0941284570557659,0.685315621928818,0.412440482165339
5,1,cont,2,11,0.0278462646817742,1.67034485147374,1.85400385690151,2.60752997731657,2.84618840920043,2.73344768029203,0.277964838412501,0.657168216036714,0.645414950162192,0.897223744826558,0.882336561925662
5,2,cont,2,61,0.0434345491862752,1.67034485147374,1.85400385690151,2.60752997731657,2.84618840920043,2.73344768029203,0.277964838412501,0.657168216036714,0.645414950162192,0.897223744826558,0.882336561925662
5,3,cont,2,241,0.0373087401479487,1.67034485147374,1.85400385690151,2.60752997731657,2.84618840920043,2.73344768029203,0.277964838412501,0.657168216036714,0.645414950162192,0.897223744826558,0.882336561925662
5,4,cont,2,801,0.0392249678238658,1.67034485147374,1.85400385690151,2.60752997731657,2.84618840920043,2.73344768029203,0.277964838412501,0.657168216036714,0.645414950162192,0.897223744826558,0.882336561925662
5,5,cont,2,2433,0.039752155684892,1.67034485147374,1.85400385690151,2.60752997731657,2.84618840920043,2.73344768029203,0.277964838412501,0.657168216036714,0.645414950162192,0.897223744826558,0.882336561925662
5,6,cont,2,6993,0.0393706907222861,1.67034485147374,1.85400385690151,2.60752997731657,2.84618840920043,2.73344768029203,0.277964838412501,0.657168216036714,0.645414950162192,0.897223744826558,0.882336561925662
5,7,cont,2,19313,0.0397047180450264,1.67034485147374,1.85400385690151,2.60752997731657,2.84618840920043,2.73344768029203,0.277964838412501,0.657168216036714,0.645414950162192,0.897223744826558,0.882336561925662
5,8,cont,2,51713,0.0395779067417303,1.67034485147374,1.85400385690151,2.60752997731657,2.84618840920043,2.73344768029203,0.277964838412501,0.657168216036714,0.645414950162192,0.897223744826558,0.882336561925662
5,1,cont,3,11,0.0883695159237356,1.51881606223275,2.66096183336041,1.1403533734663,1.56206055432184,2.1100896752008,0.499650272539607,0.584483044848704,0.924757001456557,0.166116897602024,0.374360138093039
5,2,cont,3,61,0.0954054696057268,1.51881606223275,2.66096183336041,1.1403533734663,1.56206055432184,2.1100896752008,0.499650272539607,0.584483044848704,0.924757001456557,0.166116897602024,0.374360138093039
5,3,cont,3,241,0.0855421327378981,1.51881606223275,2.66096183336041,1.1403533734663,1.56206055432184,2.1100896752008,0.499650272539607,0.584483044848704,0.924757001456557,0.166116897602024,0.374360138093039
5,4,cont,3,801,0.0919035709031027,1.51881606223275,2.66096183336041,1.1403533734663,1.56206055432184,2.1100896752008,0.499650272539607,0.584483044848704,0.924757001456557,0.166116897602024,0.374360138093039
5,5,cont,3,2433,0.0913826359493622,1.51881606223275,2.66096183336041,1.1403533734663,1.56206055432184,2.1100896752008,0.499650272539607,0.584483044848704,0.924757001456557,0.166116897602024,0.374360138093039
5,6,cont,3,6993,0.092041562579429,1.51881606223275,2.66096183336041,1.1403533734663,1.56206055432184,2.1100896752008,0.499650272539607,0.584483044848704,0.924757001456557,0.166116897602024,0.374360138093039
5,7,cont,3,19313,0.0917045170296045,1.51881606223275,2.66096183336041,1.1403533734663,1.56206055432184,2.1100896752008,0.499650272539607,0.584483044848704,0.924757001456557,0.166116897602024,0.374360138093039
5,8,cont,3,51713,0.0917047091193793,1.51881606223275,2.66096183336041,1.1403533734663,1.56206055432184,2.1100896752008,0.499650272539607,0.584483044848704,0.924757001456557,0.166116897602024,0.374360138093039
5,1,cont,4,11,0.059286048450071,1.19266826598826,1.26256843878739,2.2197965408351,2.31238746375869,2.68199062508879,0.618966880542704,0.409787087237061,0.258428445296645,0.416746159880173,0.382055538955754
5,2,cont,4,61,0.0750212900033309,1.19266826598826,1.26256843878739,2.2197965408351,2.31238746375869,2.68199062508879,0.618966880542704,0.409787087237061,0.258428445296645,0.416746159880173,0.382055538955754
5,3,cont,4,241,0.102657321386856,1.19266826598826,1.26256843878739,2.2197965408351,2.31238746375869,2.68199062508879,0.618966880542704,0.409787087237061,0.258428445296645,0.416746159880173,0.382055538955754
