dim,k,Var3,r,steps,integral,a_1,a_2,a_3,u_1,u_2,u_3
3,1,cont,1,7,0.694675305141182,0.423198696991653,0.333238978436147,0.480437212404866,0.713765827005093,0.102366984422743,0.447288867951519
3,2,cont,1,25,0.690265419193596,0.423198696991653,0.333238978436147,0.480437212404866,0.713765827005093,0.102366984422743,0.447288867951519
3,3,cont,1,69,0.689641861158653,0.423198696991653,0.333238978436147,0.480437212404866,0.713765827005093,0.102366984422743,0.447288867951519
3,4,cont,1,177,0.688858327423908,0.423198696991653,0.333238978436147,0.480437212404866,0.713765827005093,0.102366984422743,0.447288867951519
3,5,cont,1,441,0.689259037118684,0.423198696991653,0.333238978436147,0.480437212404866,0.713765827005093,0.102366984422743,0.447288867951519
3,6,cont,1,1073,0.689237393966805,0.423198696991653,0.333238978436147,0.480437212404866,0.713765827005093,0.102366984422743,0.447288867951519
3,7,cont,1,2561,0.689210210104735,0.423198696991653,0.333238978436147,0.480437212404866,0.713765827005093,0.102366984422743,0.447288867951519
3,8,cont,1,6017,0.689209598159511,0.423198696991653,0.333238978436147,0.480437212404866,0.713765827005093,0.102366984422743,0.447288867951519
3,9,cont,1,13953,0.68920779056251,0.423198696991653,0.333238978436147,0.480437212404866,0.713765827005093,0.102366984422743,0.447288867951519
3,10,cont,1,32001,0.689207681549121,0.423198696991653,0.333238978436147,0.480437212404866,0.713765827005093,0.102366984422743,0.447288867951519
3,11,cont,1,72705,0.689207837441623,0.423198696991653,0.333238978436147,0.480437212404866,0.713765827005093,0.102366984422743,0.447288867951519
3,1,cont,2,7,0.70879246413683,0.325122408949109,0.472257176253758,0.254343449235982,0.632490987889895,0.932185452930741,0.425920199903581
3,2,cont,2,25,0.705816252542859,0.325122408949109,0.472257176253758,0.254343449235982,0.632490987889895,0.932185452930741,0.425920199903581
3,3,cont,2,69,0.705419629853385,0.325122408949109,0.472257176253758,0.254343449235982,0.632490987889895,0.932185452930741,0.425920199903581
3,4,cont,2,177,0.706546119681982,0.325122408949109,0.472257176253758,0.254343449235982,0.632490987889895,0.932185452930741,0.425920199903581
3,5,cont,2,441,0.706643390529385,0.325122408949109,0.472257176253758,0.254343449235982,0.632490987889895,0.932185452930741,0.425920199903581
3,6,cont,2,1073,0.706711316946125,0.325122408949109,0.472257176253758,0.254343449235982,0.632490987889895,0.932185452930741,0.425920199903581
3,7,cont,2,2561,0.706710017048507,0.325122408949109,0.472257176253758,0.254343449235982,0.632490987889895,0.932185452930741,0.425920199903581
3,8,cont,2,6017,0.706705949934844,0.325122408949109,0.472257176253758,0.254343449235982,0.632490987889895,0.932185452930741,0.425920199903581
3,9,cont,2,13953,0.706704860101975,0.325122408949109,0.472257176253758,0.254343449235982,0.632490987889895,0.932185452930741,0.425920199903581
3,10,cont,2,32001,0.706704872665633,0.325122408949109,0.472257176253758,0.254343449235982,0.632490987889895,0.932185452930741,0.425920199903581
3,11,cont,2,72705,0.706705002109962,0.325122408949109,0.472257176253758,0.254343449235982,0.632490987889895,0.932185452930741,0.425920199903581
3,1,cont,3,7,0.622097844793359,0.326616680191916,0.457024042177091,0.451972965833172,0.148055123035974,0.959162355654271,0.714469447506153
3,2,cont,3,25,0.636394906780398,0.326616680191916,0.457024042177091,0.451972965833172,0.148055123035974,0.959162355654271,0.714469447506153
3,3,cont,3,69,0.638932066312521,0.326616680191916,0.457024042177091,0.451972965833172,0.148055123035974,0.959162355654271,0.714469447506153
3,4,cont,3,177,0.637557894254442,0.326616680191916,0.457024042177091,0.451972965833172,0.148055123035974,0.959162355654271,0.714469447506153
3,5,cont,3,441,0.637504453045509,0.326616680191916,0.457024042177091,0.451972965833172,0.148055123035974,0.959162355654271,0.714469447506153
3,6,cont,3,1073,0.637519925412487,0.326616680191916,0.457024042177091,0.451972965833172,0.148055123035974,0.959162355654271,0.714469447506153
3,7,cont,3,2561,0.637493429315784,0.326616680191916,0.457024042177091,0.451972965833172,0.148055123035974,0.959162355654271,0.714469447506153
3,8,cont,3,6017,0.637491161949084,0.326616680191916,0.457024042177091,0.451972965833172,0.148055123035974,0.959162355654271,0.714469447506153
3,9,cont,3,13953,0.637490166855267,0.326616680191916,0.457024042177091,0.451972965833172,0.148055123035974,0.959162355654271,0.714469447506153
3,10,cont,3,32001,0.63749009880262,0.326616680191916,0.457024042177091,0.451972965833172,0.148055123035974,0.959162355654271,0.714469447506153
3,11,cont,3,72705,0.637490216349406,0.326616680191916,0.457024042177091,0.451972965833172,0.148055123035974,0.959162355654271,0.714469447506153
3,1,cont,4,7,0.707968649481251,0.279617770066109,0.479743090475183,0.405995268311609,0.909255061671775,0.642812974261832,0.628685522156717
3,2,cont,4,25,0.702468848865966,0.279617770066109,0.479743090475183,0.405995268311609,0.909255061671775,0.642812974261832,0.628685522156717
3,3,cont,4,69,0.706440082513652,0.279617770066109,0.479743090475183,0.405995268311609,0.909255061671775,0.642812974261832,0.628685522156717
3,4,cont,4,177,0.707277669721386,0.279617770066109,0.479743090475183,0.405995268311609,0.909255061671775,0.642812974261832,0.628685522156717
3,5,cont,4,441,0.707688358322203,0.279617770066109,0.479743090475183,0.405995268311609,0.909255061671775,0.642812974261832,0.628685522156717
3,6,cont,4,1073,0.707608682799282,0.279617770066109,0.479743090475183,0.405995268311609,0.909255061671775,0.642812974261832,0.628685522156717
3,7,cont,4,2561,0.70760803897617,0.279617770066109,0.479743090475183,0.405995268311609,0.909255061671775,0.642812974261832,0.628685522156717
