dim,k,Var3,r,steps,integral,a_1,a_2,a_3,a_4,a_5,u_1,u_2,u_3,u_4,u_5
5,1,cont,1,11,0.597807805701302,0.335444301948222,0.490677184394715,0.281236080242179,0.302153065227041,0.288742542785328,0.704497043452544,0.736287353134735,0.656687144816026,0.891096146885089,0.491079509911995
5,2,cont,1,61,0.600433886968297,0.335444301948222,0.490677184394715,0.281236080242179,0.302153065227041,0.288742542785328,0.704497043452544,0.736287353134735,0.656687144816026,0.891096146885089,0.491079509911995
5,3,cont,1,241,0.60517509781188,0.335444301948222,0.490677184394715,0.281236080242179,0.302153065227041,0.288742542785328,0.704497043452544,0.736287353134735,0.656687144816026,0.891096146885089,0.491079509911995
5,4,cont,1,801,0.602624683400706,0.335444301948222,0.490677184394715,0.281236080242179,0.302153065227041,0.288742542785328,0.704497043452544,0.736287353134735,0.656687144816026,0.891096146885089,0.491079509911995
5,5,cont,1,2433,0.603078789453914,0.335444301948222,0.490677184394715,0.281236080242179,0.302153065227041,0.288742542785328,0.704497043452544,0.736287353134735,0.656687144816026,0.891096146885089,0.491079509911995
5,6,cont,1,6993,0.602904665105811,0.335444301948222,0.490677184394715,0.281236080242179,0.302153065227041,0.288742542785328,0.704497043452544,0.736287353134735,0.656687144816026,0.891096146885089,0.491079509911995
5,7,cont,1,19313,0.602913928576374,0.335444301948222,0.490677184394715,0.281236080242179,0.302153065227041,0.288742542785328,0.704497043452544,0.736287353134735,0.656687144816026,0.891096146885089,0.491079509911995
5,8,cont,1,51713,0.602906866213604,0.335444301948222,0.490677184394715,0.281236080242179,0.302153065227041,0.288742542785328,0.704497043452544,0.736287353134735,0.656687144816026,0.891096146885089,0.491079509911995
5,1,cont,2,11,0.506422168990499,0.422139727767143,0.464226786327597,0.475159617078903,0.487873885786867,0.475011705995987,0.807604865577157,0.0673665741623887,0.490603177705487,0.598418175498478,0.365020173235539
5,2,cont,2,61,0.499763328028444,0.422139727767143,0.464226786327597,0.475159617078903,0.487873885786867,0.475011705995987,0.807604865577157,0.0673665741623887,0.490603177705487,0.598418175498478,0.365020173235539
5,3,cont,2,241,0.49587981086908,0.422139727767143,0.464226786327597,0.475159617078903,0.487873885786867,0.475011705995987,0.807604865577157,0.0673665741623887,0.490603177705487,0.598418175498478,0.365020173235539
5,4,cont,2,801,0.497698648725575,0.422139727767143,0.464226786327597,0.475159617078903,0.487873885786867,0.475011705995987,0.807604865577157,0.0673665741623887,0.490603177705487,0.598418175498478,0.365020173235539
5,5,cont,2,2433,0.497211360728241,0.422139727767143,0.464226786327597,0.475159617078903,0.487873885786867,0.475011705995987,0.807604865577157,0.0673665741623887,0.490603177705487,0.598418175498478,0.365020173235539
5,6,cont,2,6993,0.497101461906477,0.422139727767143,0.464226786327597,0.475159617078903,0.487873885786867,0.475011705995987,0.807604865577157,0.0673665741623887,0.490603177705487,0.598418175498478,0.365020173235539
5,7,cont,2,19313,0.497118888995389,0.422139727767143,0.464226786327597,0.475159617078903,0.487873885786867,0.475011705995987,0.807604865577157,0.0673665741623887,0.490603177705487,0.598418175498478,0.365020173235539
5,8,cont,2,51713,0.497104661554794,0.422139727767143,0.464226786327597,0.475159617078903,0.487873885786867,0.475011705995987,0.807604865577157,0.0673665741623887,0.490603177705487,0.598418175498478,0.365020173235539
5,1,cont,3,11,0.482992502908191,0.332649655213339,0.484918276547482,0.428210315577424,0.484726755314727,0.382738985088381,0.00653692660244798,0.0419322032361951,0.870892177330941,0.444400581676349,0.442540532509408
5,2,cont,3,61,0.479416588542432,0.332649655213339,0.484918276547482,0.428210315577424,0.484726755314727,0.382738985088381,0.00653692660244798,0.0419322032361951,0.870892177330941,0.444400581676349,0.442540532509408
5,3,cont,3,241,0.472889699566703,0.332649655213339,0.484918276547482,0.428210315577424,0.484726755314727,0.382738985088381,0.00653692660244798,0.0419322032361951,0.870892177330941,0.444400581676349,0.442540532509408
5,4,cont,3,801,0.472953712805976,0.332649655213339,0.484918276547482,0.428210315577424,0.484726755314727,0.382738985088381,0.00653692660244798,0.0419322032361951,0.870892177330941,0.444400581676349,0.442540532509408
